"","actorID","movieID","actorIDTo","title","imdbID","spanishTitle","imdbPictureURL","year","rtID","rtPictureURL","allrating","toprating","audrating","allscore","topscore","audscore","allnum","topnum","audnum","allnumfresh","topnumfresh","allnumrotten","topnumrotten","overall.rating","actorName","actor.rating","actor.movieNO","topquality"
"1","10000665-amy_acker",5989,"christopher_walken","Catch Me If You Can",264464,"Atrápame si puedes","http://ia.media-imdb.com/images/M/MV5BNTA0ODE4OTE1NF5BMl5BanBnXkFtZTYwNjkzNTk5._V1._SY314_CR3,0,214,314_.jpg",2002,"catch_me_if_you_can","http://content7.flixster.com/movie/11/15/12/11151205_det.jpg",7.9,7.3,3.6,95,90,81,191,42,77695,183,38,8,4,0.773402351720451,"Amy Acker",8.74112417622473,1,1
"2","1069447-jay_presson_allen",581,"whoopi_goldberg","The Celluloid Closet",112651,"Celuloid Closet","http://ia.media-imdb.com/images/M/MV5BMTI2NjIzOTI5MV5BMl5BanBnXkFtZTcwNTcwNTEyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1995,"celluloid_closet","http://content9.flixster.com/movie/10/87/44/10874435_det.jpg",7.8,8.6,3.9,95,100,87,24,5,1222,23,5,1,0,0.764680870118521,"Jay Presson Allen",8.69267150065845,1,1
"3","1176696-nicole_blonsky",2926,"christopher_walken","Hairspray",427327,"Hairspray","http://ia.media-imdb.com/images/M/MV5BMTc3MjM4Njk4M15BMl5BanBnXkFtZTcwMzQ3NzU4MQ@@._V1._SY314_CR4,0,214,314_.jpg",2007,"hairspray","http://content6.flixster.com/movie/87/30/58/8730580_det.jpg",7.7,8,3.9,90,97,84,205,41,382832,186,40,19,1,0.817860666151426,"Nikki Blonsky",8.98811481195237,1,1
"4","1180347-adam_stone",61240,"1191722-lina_leandersson","Låt den rätte komma in",1139797,"Déjame entrar","http://ia.media-imdb.com/images/M/MV5BMjE1OTY2MTM5MF5BMl5BanBnXkFtZTcwNzQ5Mjc5MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"lat_den_ratte_komma_in","http://content9.flixster.com/movie/10/92/37/10923703_det.jpg",8.2,7.9,4.2,97,96,89,158,30,25695,154,29,4,1,0.880040664861457,"Adam Stone",9.33355924923032,1,1
"5","1180347-adam_stone",61240,"1191724-henrik_dahl","Låt den rätte komma in",1139797,"Déjame entrar","http://ia.media-imdb.com/images/M/MV5BMjE1OTY2MTM5MF5BMl5BanBnXkFtZTcwNzQ5Mjc5MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"lat_den_ratte_komma_in","http://content9.flixster.com/movie/10/92/37/10923703_det.jpg",8.2,7.9,4.2,97,96,89,158,30,25695,154,29,4,1,0.880040664861457,"Adam Stone",9.33355924923032,1,1
"6","1191722-lina_leandersson",61240,"1180347-adam_stone","Låt den rätte komma in",1139797,"Déjame entrar","http://ia.media-imdb.com/images/M/MV5BMjE1OTY2MTM5MF5BMl5BanBnXkFtZTcwNzQ5Mjc5MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"lat_den_ratte_komma_in","http://content9.flixster.com/movie/10/92/37/10923703_det.jpg",8.2,7.9,4.2,97,96,89,158,30,25695,154,29,4,1,0.880040664861457,"Lina Leandersson",9.33355924923032,1,1
"7","1191722-lina_leandersson",61240,"1191724-henrik_dahl","Låt den rätte komma in",1139797,"Déjame entrar","http://ia.media-imdb.com/images/M/MV5BMjE1OTY2MTM5MF5BMl5BanBnXkFtZTcwNzQ5Mjc5MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"lat_den_ratte_komma_in","http://content9.flixster.com/movie/10/92/37/10923703_det.jpg",8.2,7.9,4.2,97,96,89,158,30,25695,154,29,4,1,0.880040664861457,"Lina Leandersson",9.33355924923032,1,1
"8","1191724-henrik_dahl",61240,"1180347-adam_stone","Låt den rätte komma in",1139797,"Déjame entrar","http://ia.media-imdb.com/images/M/MV5BMjE1OTY2MTM5MF5BMl5BanBnXkFtZTcwNzQ5Mjc5MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"lat_den_ratte_komma_in","http://content9.flixster.com/movie/10/92/37/10923703_det.jpg",8.2,7.9,4.2,97,96,89,158,30,25695,154,29,4,1,0.880040664861457,"Henrik Dahl",9.33355924923032,1,1
"9","1191724-henrik_dahl",61240,"1191722-lina_leandersson","Låt den rätte komma in",1139797,"Déjame entrar","http://ia.media-imdb.com/images/M/MV5BMjE1OTY2MTM5MF5BMl5BanBnXkFtZTcwNzQ5Mjc5MQ@@._V1._SX214_CR0,0,214,314_.jpg",2008,"lat_den_ratte_komma_in","http://content9.flixster.com/movie/10/92/37/10923703_det.jpg",8.2,7.9,4.2,97,96,89,158,30,25695,154,29,4,1,0.880040664861457,"Henrik Dahl",9.33355924923032,1,1
"10","bruce_willis",296,"harvey_keitel","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Bruce Willis",4.60875854157576,47,2
"11","bruce_willis",165,"samuel_l_jackson","Die Hard: With a Vengeance",112864,"Jungla de cristal. La venganza","http://ia.media-imdb.com/images/M/MV5BMTI0MDkwNzc1NF5BMl5BanBnXkFtZTYwMzE5NDg5._V1._SX214_CR0,0,214,314_.jpg",1995,"die_hard_with_a_vengeance","http://content8.flixster.com/movie/10/93/34/10933486_det.jpg",5.7,5.8,3.6,47,50,83,42,10,61394,20,5,22,5,0.345867744992847,"Bruce Willis",4.60875854157576,47,2
"12","bruce_willis",5689,"steve_buscemi","Billy Bathgate",101453,"Billy Bathgate","http://ia.media-imdb.com/images/M/MV5BMTQ4MjUxNjcwMF5BMl5BanBnXkFtZTcwNTU3OTMyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1991,"billy_bathgate","http://content7.flixster.com/movie/27/24/272493_det.jpg",5.2,0,2.8,50,0,32,18,2,1397,9,0,9,2,-0.181912085706235,"Bruce Willis",4.60875854157576,47,2
"13","bruce_willis",3208,"samuel_l_jackson","Loaded Weapon 1",107659,"Con el arma a punto","http://ia.media-imdb.com/images/M/MV5BMTQ3ODIzOTcyOV5BMl5BanBnXkFtZTcwMzA2ODYyMQ@@._V1._SY314_CR9,0,214,314_.jpg",1993,"national_lampoons_loaded_weapon_1","http://content6.flixster.com/movie/10/88/28/10882800_det.jpg",3.5,0,2.8,13,0,50,22,4,4689,3,0,19,4,-0.297491893726316,"Bruce Willis",4.60875854157576,47,2
"14","bruce_willis",296,"samuel_l_jackson","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Bruce Willis",4.60875854157576,47,2
"15","bruce_willis",7000,"frank_welker","Hudson Hawk",102070,"El gran Halcón","http://ia.media-imdb.com/images/M/MV5BMTQwMjY3OTM3MF5BMl5BanBnXkFtZTcwMjE0NDYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1991,"hudson_hawk","http://content7.flixster.com/movie/27/18/271897_det.jpg",3.6,0,2.9,20,25,54,30,4,6827,6,1,24,3,-0.172442705049817,"Bruce Willis",4.60875854157576,47,2
"16","bruce_willis",2267,"harvey_keitel","Mortal Thoughts",102469,"Pensamientos mortales","http://ia.media-imdb.com/images/M/MV5BMTgxOTQ5ODkwOF5BMl5BanBnXkFtZTcwOTcwNDAyMQ@@._V1._SY314_CR6,0,214,314_.jpg",1991,"mortal_thoughts","http://content9.flixster.com/movie/27/64/276491_det.jpg",5.6,0,2.9,61,50,33,13,2,1404,8,1,5,1,-0.0052485495001795,"Bruce Willis",4.60875854157576,47,2
"17","bruce_willis",296,"christopher_walken","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Bruce Willis",4.60875854157576,47,2
"18","bruce_willis",996,"christopher_walken","Last Man Standing",116830,"El último hombre","http://ia.media-imdb.com/images/M/MV5BMTIyOTE2ODQ2OF5BMl5BanBnXkFtZTYwMjY4Mjg5._V1._SX214_CR0,0,214,314_.jpg",1996,"1073075-last_man_standing","http://content7.flixster.com/movie/10/94/88/10948865_det.jpg",5.1,4,3.1,36,16,56,30,6,8711,11,1,19,5,0.0313205981957793,"Bruce Willis",4.60875854157576,47,2
"19","bruce_willis",296,"steve_buscemi","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Bruce Willis",4.60875854157576,47,2
"20","bruce_willis",3994,"samuel_l_jackson","Unbreakable",217869,"El protegido","http://ia.media-imdb.com/images/M/MV5BMTMzNTk3NDE0NV5BMl5BanBnXkFtZTYwNjc1MTg4._V1._SX214_CR0,0,214,314_.jpg",2000,"unbreakable","http://content7.flixster.com/movie/10/89/48/10894809_det.jpg",6.2,5.6,3.3,67,57,73,156,33,35079,106,19,50,14,0.442820203403051,"Bruce Willis",4.60875854157576,47,2
"21","bruce_willis",505,"dan_aykroyd","North",110687,"Un muchacho llamado Norte","http://ia.media-imdb.com/images/M/MV5BMjEwMTQ5NjgxNF5BMl5BanBnXkFtZTcwNTk4NjUyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1994,"north","http://content9.flixster.com/movie/41/65/59/4165591_det.jpg",3,0,2.6,11,0,32,18,3,2932,2,0,16,3,-0.386076528708389,"Bruce Willis",4.60875854157576,47,2
"22","bruce_willis",1917,"steve_buscemi","Armageddon",120591,"Armageddon","http://ia.media-imdb.com/images/M/MV5BMTMxNzkwODQyNl5BMl5BanBnXkFtZTcwNTE5MTAyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1998,"armageddon","http://content7.flixster.com/movie/55/05/68/5505685_det.jpg",5.1,3.8,3.5,41,17,77,77,17,105398,32,3,45,14,0.176730519947189,"Bruce Willis",4.60875854157576,47,2
"23","bruce_willis",50442,"harry_dean_stanton","Alpha Dog",426883,"Alpha Dog","http://ia.media-imdb.com/images/M/MV5BMTU3Nzg5Mjg1OF5BMl5BanBnXkFtZTcwNzg0MzQ0MQ@@._V1._SY314_CR5,0,214,314_.jpg",2006,"alpha_dog","http://content9.flixster.com/movie/10/88/36/10883691_det.jpg",5.5,5.6,3.3,55,55,68,141,36,59805,78,20,63,16,0.369517370155969,"Bruce Willis",4.60875854157576,47,2
"24","bruce_willis",3208,"whoopi_goldberg","Loaded Weapon 1",107659,"Con el arma a punto","http://ia.media-imdb.com/images/M/MV5BMTQ3ODIzOTcyOV5BMl5BanBnXkFtZTcwMzA2ODYyMQ@@._V1._SY314_CR9,0,214,314_.jpg",1993,"national_lampoons_loaded_weapon_1","http://content6.flixster.com/movie/10/88/28/10882800_det.jpg",3.5,0,2.8,13,0,50,22,4,4689,3,0,19,4,-0.297491893726316,"Bruce Willis",4.60875854157576,47,2
"25","christopher_walken",555,"samuel_l_jackson","True Romance",108399,"Amor a quemarropa","http://ia.media-imdb.com/images/M/MV5BMTI1Njg1NzAxMl5BMl5BanBnXkFtZTYwOTk5MDE5._V1._SX214_CR0,0,214,314_.jpg",1993,"true_romance","http://content9.flixster.com/movie/38/28/09/3828095_det.jpg",7.5,6.2,3.9,90,77,90,44,9,43205,40,7,4,2,0.669328686238966,"Christopher Walken",4.64765298425404,53,2
"26","christopher_walken",296,"harvey_keitel","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Christopher Walken",4.64765298425404,53,2
"27","christopher_walken",5989,"10000665-amy_acker","Catch Me If You Can",264464,"Atrápame si puedes","http://ia.media-imdb.com/images/M/MV5BNTA0ODE4OTE1NF5BMl5BanBnXkFtZTYwNjkzNTk5._V1._SY314_CR3,0,214,314_.jpg",2002,"catch_me_if_you_can","http://content7.flixster.com/movie/11/15/12/11151205_det.jpg",7.9,7.3,3.6,95,90,81,191,42,77695,183,38,8,4,0.773402351720451,"Christopher Walken",4.64765298425404,53,2
"28","christopher_walken",81,"steve_buscemi","Things to Do in Denver When You're Dead",114660,"Cosas que hacer en Denver cuando estás muerto","http://ia.media-imdb.com/images/M/MV5BMTgxODc5NzYzNl5BMl5BanBnXkFtZTcwOTg0MjkxMQ@@._V1._SY314_CR8,0,214,314_.jpg",1995,"things_to_do_in_denver_when_youre_dead","http://content8.flixster.com/movie/27/06/270606_det.jpg",4.9,5.5,3.5,33,20,72,27,5,3197,9,1,18,4,0.105032931367784,"Christopher Walken",4.64765298425404,53,2
"29","christopher_walken",8628,"dennis_hopper","Search and Destroy",114371,"Search and Destroy","http://ia.media-imdb.com/images/M/MV5BMTg1NTE1MzYzNF5BMl5BanBnXkFtZTcwNzU2ODIyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995,"1062111-search_and_destroy","http://content8.flixster.com/movie/28/12/281206_det.jpg",4,0,3,25,33,45,8,3,597,2,1,6,2,-0.195783803471377,"Christopher Walken",4.64765298425404,53,2
"30","christopher_walken",2767,"john_turturro","Illuminata",120709,"Illuminata","http://ia.media-imdb.com/images/M/MV5BMTUzMjU5NjIxM15BMl5BanBnXkFtZTcwNzM5MTcxMQ@@._V1._SY314_CR3,0,214,314_.jpg",1998,"illuminata","http://content8.flixster.com/movie/27/56/275614_det.jpg",5.6,5.5,3.4,39,42,64,23,7,320,9,3,14,4,0.156634280972891,"Christopher Walken",4.64765298425404,53,2
"31","christopher_walken",1263,"robert_de_niro","The Deer Hunter",77416,"El cazador","http://ia.media-imdb.com/images/M/MV5BMTY2MzI3ODU3Nl5BMl5BanBnXkFtZTcwMjkzMzMzMQ@@._V1._SY314_CR2,0,214,314_.jpg",1978,"deer_hunter","http://content6.flixster.com/movie/26/75/267592_det.jpg",8.3,7.1,4.1,90,80,91,44,5,27513,40,4,4,1,0.726956896289824,"Christopher Walken",4.64765298425404,53,2
"32","christopher_walken",137,"robin_williams","Man of the Year",483726,"Man of the Year","http://ia.media-imdb.com/images/M/MV5BMTM0NzQxMjk0OV5BMl5BanBnXkFtZTcwMDUyNDgzMQ@@._V1._SX214_CR0,0,214,314_.jpg",2006,"man_of_the_year","http://content9.flixster.com/movie/11/12/89/11128939_det.jpg",4.4,5,3,21,31,51,141,35,29127,30,11,111,24,0.0899480642294858,"Christopher Walken",4.64765298425404,53,2
"33","christopher_walken",296,"steve_buscemi","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Christopher Walken",4.64765298425404,53,2
"34","christopher_walken",2294,"gene_hackman","Antz",120587,"Hormigaz","http://ia.media-imdb.com/images/M/MV5BMTIyNjc4OTk2NF5BMl5BanBnXkFtZTcwMjcyMTcyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1998,"antz","http://content8.flixster.com/movie/25/71/257118_det.jpg",7.7,7.5,2.9,95,95,47,86,24,33465,82,23,4,1,0.653685424198739,"Christopher Walken",4.64765298425404,53,2
"35","christopher_walken",555,"dennis_hopper","True Romance",108399,"Amor a quemarropa","http://ia.media-imdb.com/images/M/MV5BMTI1Njg1NzAxMl5BMl5BanBnXkFtZTYwOTk5MDE5._V1._SX214_CR0,0,214,314_.jpg",1993,"true_romance","http://content9.flixster.com/movie/38/28/09/3828095_det.jpg",7.5,6.2,3.9,90,77,90,44,9,43205,40,7,4,2,0.669328686238966,"Christopher Walken",4.64765298425404,53,2
"36","christopher_walken",1605,"john_turturro","Excess Baggage",119086,"Exceso de equipaje","http://ia.media-imdb.com/images/M/MV5BMTg5OTM4MTM2N15BMl5BanBnXkFtZTcwMzUyNzkxMQ@@._V1._SY314_CR4,0,214,314_.jpg",1997,"excess_baggage","http://content9.flixster.com/movie/26/36/263699_det.jpg",4.5,4.7,2.5,33,20,37,30,5,3231,10,1,20,4,-0.0631497603572205,"Christopher Walken",4.64765298425404,53,2
"37","christopher_walken",8913,"michael_caine","Around the Bend",384810,"A la vuelta de la esquina","http://ia.media-imdb.com/images/M/MV5BMTY4NDE5ODIxNl5BMl5BanBnXkFtZTcwNjM4OTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",2004,"around_the_bend","http://content9.flixster.com/movie/10/88/98/10889891_det.jpg",4.9,4.7,3.4,28,23,65,94,30,1012,27,7,67,23,0.106095458667629,"Christopher Walken",4.64765298425404,53,2
"38","christopher_walken",296,"samuel_l_jackson","Pulp Fiction",110912,"Pulp Fiction","http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1._SY314_CR3,0,214,314_.jpg",1994,"pulp_fiction","http://content9.flixster.com/movie/10/88/65/10886599_det.jpg",8.9,8.4,4.2,94,92,95,50,14,249269,47,13,3,1,0.877033704604629,"Christopher Walken",4.64765298425404,53,2
"39","christopher_walken",4523,"m_emmet_walsh","The Milagro Beanfield War",95638,"Un lugar llamado Milagro","http://ia.media-imdb.com/images/M/MV5BMTk0NDQ1NTkxOF5BMl5BanBnXkFtZTcwMTIzNTgyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1988,"milagro_beanfield_war","http://content7.flixster.com/movie/26/74/267493_det.jpg",5.9,5.9,3.6,59,50,72,27,6,855,16,3,11,3,0.303701360997037,"Christopher Walken",4.64765298425404,53,2
"40","christopher_walken",2926,"1176696-nicole_blonsky","Hairspray",427327,"Hairspray","http://ia.media-imdb.com/images/M/MV5BMTc3MjM4Njk4M15BMl5BanBnXkFtZTcwMzQ3NzU4MQ@@._V1._SY314_CR4,0,214,314_.jpg",2007,"hairspray","http://content6.flixster.com/movie/87/30/58/8730580_det.jpg",7.7,8,3.9,90,97,84,205,41,382832,186,40,19,1,0.817860666151426,"Christopher Walken",4.64765298425404,53,2
"41","christopher_walken",1785,"steve_buscemi","King of New York",99939,"El rey de Nueva York","http://ia.media-imdb.com/images/M/MV5BMjA5OTA3NDMxOV5BMl5BanBnXkFtZTcwMDY3MjUyMQ@@._V1._SY314_CR11,0,214,314_.jpg",1990,"king_of_new_york","http://content9.flixster.com/movie/10/92/96/10929695_det.jpg",6,6.2,3.7,69,60,77,23,5,5329,16,3,7,2,0.406288924186702,"Christopher Walken",4.64765298425404,53,2
"42","christopher_walken",8628,"john_turturro","Search and Destroy",114371,"Search and Destroy","http://ia.media-imdb.com/images/M/MV5BMTg1NTE1MzYzNF5BMl5BanBnXkFtZTcwNzU2ODIyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995,"1062111-search_and_destroy","http://content8.flixster.com/movie/28/12/281206_det.jpg",4,0,3,25,33,45,8,3,597,2,1,6,2,-0.195783803471377,"Christopher Walken",4.64765298425404,53,2
"43","christopher_walken",2294,"dan_aykroyd","Antz",120587,"Hormigaz","http://ia.media-imdb.com/images/M/MV5BMTIyNjc4OTk2NF5BMl5BanBnXkFtZTcwMjcyMTcyMQ@@._V1._SY314_CR1,0,214,314_.jpg",1998,"antz","http://content8.flixster.com/movie/25/71/257118_det.jpg",7.7,7.5,2.9,95,95,47,86,24,33465,82,23,4,1,0.653685424198739,"Christopher Walken",4.64765298425404,53,2
